order_id,customer_id,order_date,product_name,category,quantity,unit_price,total_amount
ORD-000051,CUST-91825,2025-07-01,Wireless Earbuds,Electronics,1,2214.67,2214.67
ORD-000115,CUST-84857,2025-07-01,Backpack,Accessories,1,1258.01,1258.01
ORD-000367,CUST-30358,2025-07-01,Running Shoes,Footwear,1,2309.66,2309.66
ORD-000966,CUST-70567,2025-07-01,Denim Jeans,Apparel,1,1131.05,1131.05
ORD-001165,CUST-55977,2025-07-01,Denim Jeans,Apparel,1,978.74,978.74
ORD-001311,CUST-64730,2025-07-01,Casual T-Shirt,Apparel,2,1644.17,3288.34
ORD-002125,CUST-52386,2025-07-01,Wireless Earbuds,Electronics,1,2001.62,2001.62
ORD-002501,CUST-50088,2025-07-01,Denim Jeans,Apparel,1,1375.87,1375.87
ORD-002812,CUST-49316,2025-07-01,Casual T-Shirt,Apparel,2,957.65,1915.3
ORD-003247,CUST-23121,2025-07-01,Leather Wallet,Accessories,2,2304.7,4609.4
ORD-004290,CUST-60058,2025-07-01,Casual T-Shirt,Apparel,1,897.16,897.16
ORD-004690,CUST-56173,2025-07-01,Leather Wallet,Accessories,1,407.26,407.26
ORD-006377,CUST-76986,2025-07-01,Running Shoes,Footwear,1,738.5,738.5
ORD-006659,CUST-70685,2025-07-01,Denim Jeans,Apparel,1,2130.8,2130.8
ORD-006705,CUST-72467,2025-07-01,Denim Jeans,Apparel,1,1513.44,1513.44
ORD-008902,CUST-30646,2025-07-01,Backpack,Accessories,1,1337.9,1337.9
ORD-009474,CUST-53237,2025-07-01,Backpack,Accessories,3,1810.27,5430.81
ORD-009799,CUST-50135,2025-07-01,Denim Jeans,Apparel,1,2312.17,2312.17
ORD-010072,CUST-73694,2025-07-01,Backpack,Accessories,1,1630.43,1630.43
ORD-011226,CUST-12072,2025-07-01,Casual T-Shirt,Apparel,4,309.3,1237.2
ORD-011246,CUST-77559,2025-07-01,Leather Wallet,Accessories,2,1270.49,2540.98
ORD-011333,CUST-41435,2025-07-01,Leather Wallet,Accessories,2,624.74,1249.48
ORD-011887,CUST-87899,2025-07-01,Wireless Earbuds,Electronics,1,775.12,775.12
ORD-011998,CUST-27615,2025-07-01,Wireless Earbuds,Electronics,1,1839.37,1839.37
ORD-012195,CUST-45760,2025-07-01,Denim Jeans,Apparel,1,2169.78,2169.78
ORD-012452,CUST-76075,2025-07-01,Backpack,Accessories,2,1846.14,3692.28
